ds,yhat,State
2023-12-04,204361640.27538967,Alabama
2023-12-05,201045724.9500865,Alabama
2023-12-06,220356505.89049712,Alabama
2023-12-07,195263709.87274563,Alabama
2023-12-08,198112869.35846382,Alabama
2023-12-09,205877724.17009947,Alabama
2023-12-10,199707120.98145488,Alabama
2023-12-11,202016539.60018063,Alabama
2023-12-12,199393735.66942975,Alabama
2023-12-13,219470561.53247756,Alabama
2023-12-14,195193687.19193405,Alabama
2023-12-15,198884119.67146006,Alabama
2023-12-16,207490324.04836866,Alabama
2023-12-17,202135860.52613604,Alabama
2023-12-18,205211645.23470715,Alabama
2023-12-19,203282303.2778081,Alabama
2023-12-20,223958655.4437446,Alabama
2023-12-21,200169041.54911685,Alabama
2023-12-22,204219361.668973,Alabama
2023-12-23,213046623.85565144,Alabama
2023-12-24,207766900.85677359,Alabama
2023-12-25,210767794.7940511,Alabama
2023-12-26,208614872.9773818,Alabama
2023-12-27,228924114.43977818,Alabama
2023-12-28,204633071.89347768,Alabama
2023-12-29,208060635.583109,Alabama
2023-12-30,216160196.1958026,Alabama
2023-12-31,210067120.96004283,Alabama
2024-01-01,212190656.2481088,Alabama
2024-01-02,209119736.4961152,Alabama
2024-01-03,228494757.48058575,Alabama
2024-01-04,203278038.3632573,Alabama
2024-01-05,205812879.3824097,Alabama
2024-01-06,213076032.84162924,Alabama
2024-01-07,206224521.5168732,Alabama
2024-01-08,207686936.7049644,Alabama
2024-01-09,204068713.00453588,Alabama
2024-01-10,223023453.02368742,Alabama
2024-01-11,197523039.02270728,Alabama
2024-01-12,199916448.0521744,Alabama
2024-01-13,207182094.73349375,Alabama
2024-01-14,200474638.93708354,Alabama
2024-01-15,202216390.26926833,Alabama
2024-01-16,199002802.73192254,Alabama
2024-01-17,218474125.71747822,Alabama
2024-01-18,193585938.2375626,Alabama
2024-01-19,196668470.0581655,Alabama
2024-01-20,204679518.6120939,Alabama
2024-01-21,198751881.7348389,Alabama
2024-01-22,201285419.50051633,Alabama
2024-01-23,198853219.0144695,Alabama
2024-01-24,219073908.52082726,Alabama
2024-01-25,194882828.19676664,Alabama
2024-01-26,198591942.63684848,Alabama
2024-01-27,207143286.6237071,Alabama
2024-01-28,201656848.85922378,Alabama
2023-12-04,221590978.95190173,Arizona
2023-12-05,217444198.79185432,Arizona
2023-12-06,233843311.95295298,Arizona
2023-12-07,210040839.39201123,Arizona
2023-12-08,214264395.46877453,Arizona
2023-12-09,221660030.50864786,Arizona
2023-12-10,214080830.7824276,Arizona
2023-12-11,218277792.29670215,Arizona
2023-12-12,214725942.8374222,Arizona
2023-12-13,231799689.22631183,Arizona
2023-12-14,208731425.05485305,Arizona
2023-12-15,213727004.3971139,Arizona
2023-12-16,221909725.62874332,Arizona
2023-12-17,215109597.8238258,Arizona
2023-12-18,220054886.79356,Arizona
2023-12-19,217198895.78408033,Arizona
2023-12-20,234895938.82606384,Arizona
2023-12-21,212360524.04050776,Arizona
